stop_id,stop_code,stop_name,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding,platform_code,NVBW_HST_DHID
"de:05113:9561:1:1","","Essen Schwimmbad Kettwig","51.3739464","6.9336195","","0","de:05113:9561_Parent","0","","de:05113:9561"
"de:05113:9561:1:2","","Essen Schwimmbad Kettwig","51.3739352","6.9336016","","0","de:05113:9561_Parent","0","","de:05113:9561"
"de:05113:9561:1:3","","Essen Schwimmbad Kettwig","51.3747819","6.9336734","","0","de:05113:9561_Parent","0","","de:05113:9561"
"de:05113:9561:1:4","","Essen Schwimmbad Kettwig","51.3747819","6.9336644","","0","de:05113:9561_Parent","0","","de:05113:9561"
"de:05113:9561_Parent","","Essen Schwimmbad Kettwig","51.3740922","6.9336824","","1","","","","de:05113:9561"
"de:05113:9562:1:1","","Essen Schwimmbad Oststadt","51.4436406","7.1070842","","","","0","","de:05113:9562"
"de:05113:9562:1:2","","Essen Schwimmbad Oststadt","51.443635","7.1070662","","","","0","","de:05113:9562"
"de:05113:9562:1:3","","Essen Schwimmbad Oststadt","51.4435454","7.1072998","","","","0","","de:05113:9562"
"de:05113:9563:1:1","","Essen Seeblick","51.3987869","6.9918124","","","","0","","de:05113:9563"
"de:05113:9563:1:2","","Essen Seeblick","51.3987701","6.9920909","","","","0","","de:05113:9563"
"de:05113:9565:1:1","","Essen Seumannstr.","51.4745425","7.0137582","","0","de:05113:9565_Parent","0","","de:05113:9565"
"de:05113:9565:1:2","","Essen Seumannstr.","51.4744194","7.013866","","0","de:05113:9565_Parent","0","","de:05113:9565"
"de:05113:9565:2:1","","Essen Seumannstr.","51.4745313","7.0137942","","0","de:05113:9565_Parent","0","","de:05113:9565"
"de:05113:9565:2:2","","Essen Seumannstr.","51.4743915","7.0138481","","0","de:05113:9565_Parent","0","","de:05113:9565"
"de:05113:9565_Parent","","Essen Seumannstr.","51.4744642","7.0138391","","1","","","","de:05113:9565"
"de:05113:9567:1:1","","Essen Sigambrerweg","51.5212782","7.0078653","","","","0","","de:05113:9567"
"de:05113:9567:1:2","","Essen Sigambrerweg","51.5212782","7.0078563","","","","0","","de:05113:9567"
"de:05113:9568:1:1","","Essen Sommerburgstr.","51.4179001","6.9806194","","","","0","","de:05113:9568"
